Битрейт (КБ/сек),Секунда просмотра
4.4892578125,1.2511727809906006
44434.6806640625,2.263002872467041
30023.4375,3.271282911300659
30023.4375,4.273116827011108
30023.4248046875,5.280677795410156
31224.810546875,6.311323881149292
30023.4375,7.3135669231414795
31224.375,8.351476907730103
30021.6728515625,9.36151385307312
31224.375,10.390079975128174
30024.7734375,11.39979887008667
30679.8525390625,12.399863958358765
30567.20703125,13.424531936645508
30023.4375,14.424859762191772
30023.4375,15.427780866622925
31224.375,16.4700129032135
30024.2080078125,17.471847772598267
31224.375,18.50867199897766
30023.4375,19.509683847427368
31224.375,20.548682928085327
30546.99609375,21.548731803894043
29498.52734375,22.549518823623657
31224.375,23.588299036026
30023.4375,24.5901517868042
31225.6826171875,25.628671884536743
30023.4375,26.6301748752594
31224.4033203125,27.66917395591736
30023.4375,28.67123508453369
31223.25390625,29.717626810073853
31224.375,30.74955177307129
31225.4677734375,31.788095951080322
30022.12109375,32.79291009902954
31222.095703125,33.83164691925049
30743.6435546875,34.83169889450073
29306.1005859375,35.833657026290894
31221.505859375,36.86661982536316
30023.4375,37.86831593513489
31224.375,38.91364789009094
30234.556640625,39.91372799873352
29815.9111328125,40.918378829956055
30023.4375,41.92374873161316
