Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Время видео
67,0.04333901405334473,960,540,25.0,h264,1518.75,2024-04-13 07:55:06
68,0.040001869201660156,960,540,25.0,h264,2462.697265625,2024-04-13 07:55:06
69,0.040055036544799805,960,540,25.0,h264,574.802734375,2024-04-13 07:55:06
70,0.05064988136291504,960,540,25.0,h264,1518.75,2024-04-13 07:55:06
71,0.07003903388977051,960,540,25.0,h264,3037.3671875,2024-04-13 07:55:06
72,0.07526707649230957,960,540,25.0,h264,3037.5,2024-04-13 07:55:06
73,0.042488813400268555,960,540,25.0,h264,1518.75,2024-04-13 07:55:06
74,0.04019618034362793,960,540,25.0,h264,1518.7490234375,2024-04-13 07:55:06
75,0.04026198387145996,960,540,25.0,h264,3036.70703125,2024-04-13 07:55:06
76,0.04000091552734375,960,540,25.0,h264,165.0390625,2024-04-13 07:55:06
77,0.04081416130065918,960,540,25.0,h264,1354.5068359375,2024-04-13 07:55:06
78,0.04048514366149902,960,540,25.0,h264,1518.7490234375,2024-04-13 07:55:06
79,0.04082989692687988,960,540,25.0,h264,1519.6591796875,2024-04-13 07:55:06
80,0.07376480102539062,960,540,25.0,h264,3036.6103515625,2024-04-13 07:55:06
81,0.04599809646606445,960,540,25.0,h264,1518.865234375,2024-04-13 07:55:06
82,0.07436609268188477,960,540,25.0,h264,3037.5,2024-04-13 07:55:06
83,0.04172086715698242,960,540,25.0,h264,1518.640625,2024-04-13 07:55:07
84,0.047669172286987305,960,540,25.0,h264,1518.7451171875,2024-04-13 07:55:07
85,0.07281684875488281,960,540,25.0,h264,3037.6142578125,2024-04-13 07:55:07
86,0.044213056564331055,960,540,25.0,h264,1519.51953125,2024-04-13 07:55:07
87,0.07799792289733887,960,540,25.0,h264,3036.61328125,2024-04-13 07:55:07
88,0.04224896430969238,960,540,25.0,h264,1518.7578125,2024-04-13 07:55:07
89,0.08530116081237793,960,540,25.0,h264,3037.5,2024-04-13 07:55:07
